Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,FourW,FiveW
1, Lasith Malinga,98,98,381.3,2546,143,5/13,17.80,6.67,16.00,4,1
2, Amit Mishra,112,112,401.0,2918,124,5/17,23.53,7.27,19.40,3,1
3, Dwayne Bravo,106,103,336.2,2754,122,4/22,22.57,8.18,16.54,2,0
4, Piyush Chawla,123,122,407.1,3082,120,4/17,25.68,7.56,20.35,2,0
5, Harbhajan Singh,125,123,445.3,3119,119,5/18,26.21,7.00,22.46,1,1
6, Vinay Kumar,102,101,346.4,2870,101,4/40,28.41,8.27,20.59,1,0
7, Ravichandran Ashwin,111,108,381.4,2500,100,4/34,25.00,6.55,22.90,1,0
8, Ashish Nehra,82,82,296.5,2298,98,4/10,23.44,7.74,18.17,1,0
9, Dale Steyn,90,90,343.0,2306,92,3/8,25.06,6.72,22.36,0,0
10, Zaheer Khan,89,88,326.3,2469,92,4/17,26.83,7.56,21.29,1,0
11, RP Singh,82,82,295.5,2338,90,4/22,25.97,7.90,19.72,2,0
12, Pragyan Ojha,92,90,316.3,2332,89,3/11,26.20,7.36,21.33,0,0
13, Sunil Narine,66,66,262.0,1619,85,5/19,19.04,6.17,18.49,6,1
14, Bhuvneshwar Kumar,76,76,277.5,1970,85,4/14,23.17,7.09,19.61,2,0
15, Albie Morkel,91,87,287.1,2359,85,4/32,27.75,8.21,20.27,1,0
16, Praveen Kumar,113,113,404.1,3100,84,3/18,36.90,7.67,28.86,0,0
17, Shane Watson,94,86,283.2,2186,81,4/29,26.98,7.71,20.98,1,0
18, Irfan Pathan,102,100,338.3,2623,80,3/24,32.78,7.74,25.38,0,0
19, Ravindra Jadeja,126,100,282.5,2157,77,5/16,28.01,7.62,22.03,3,1
20, Morne Morkel,70,70,271.3,2089,77,4/20,27.12,7.69,21.15,1,0
21, Lakshmipathy Balaji,73,73,251.5,2029,76,5/24,26.69,8.05,19.88,3,1
22, Umesh Yadav,80,79,273.5,2297,74,4/24,31.04,8.38,22.20,1,0
23, Munaf Patel,61,61,218.5,1641,73,5/21,22.47,7.49,17.98,2,1
24, Dhawal Kulkarni,66,66,217.1,1708,73,4/14,23.39,7.86,17.84,1,0
25, Mohit Sharma,61,61,210.0,1666,70,4/14,23.80,7.93,18.00,1,0
26, Rajat Bhatia,92,88,265.4,1965,69,4/15,28.47,7.39,23.10,1,0
27, Ashok Dinda,75,72,241.4,1952,67,4/18,29.13,8.07,21.64,1,0
28, Siddharth Trivedi,76,75,251.0,1904,65,4/25,29.29,7.58,23.16,1,0
29, Jacques Kallis,98,89,290.2,2293,65,3/13,35.27,7.89,26.80,0,0
30, Muttiah Muralitharan,66,66,254.0,1696,63,3/11,26.92,6.67,24.19,0,0
31, Ishant Sharma,70,70,254.5,2052,59,5/12,34.77,8.05,25.91,0,1
32, Shane Warne,55,54,199.0,1447,57,4/21,25.38,7.27,20.94,1,0
33, Yuzvendra Chahal,43,42,155.0,1236,56,4/25,22.07,7.97,16.60,1,0
34, Kieron Pollard,106,80,198.0,1740,56,4/44,31.07,8.78,21.21,1,0
35, Sandeep Sharma,43,43,156.1,1189,54,4/25,22.01,7.61,17.35,1,0
36, James Faulkner,52,52,178.1,1520,53,5/16,28.67,8.53,20.16,0,2
37, Mitchell Johnson,43,43,164.2,1345,52,3/27,25.86,8.18,18.96,0,0
