Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Kuldeep Yadav,179,3,3,12.0,100,6,3/35,16.66,8.33,12.0,0,0,1
LA Carseldine,255,5,1,1.0,6,1,0/0,6.0,6.0,6.0,0,0,1
Robin Peterson,226,5,4,8.0,70,3,3/37,23.33,8.75,16.0,0,0,1
Samuel Badree,238,5,5,18.0,131,2,1/19,65.5,7.27,54.0,0,0,1
Love Ablish,230,3,3,7.0,75,3,2/17,25.0,10.71,14.0,0,0,1
Corey Anderson,197,16,11,22.0,217,5,2/18,43.4,9.86,26.4,0,0,1
Jaskaran Singh,185,8,7,17.0,171,6,2/18,28.5,10.05,17.0,0,0,1
GR Napier,259,1,1,4.0,27,1,1/27,27.0,6.75,24.0,0,0,1
Manoj Tiwary,282,78,5,6.0,73,1,0/0,73.0,12.16,36.0,0,0,1
Vikramjeet Malik,175,13,13,34.1,261,6,2/14,43.5,7.63,34.16,0,0,1
D du Preez,204,2,2,7.0,56,4,3/32,14.0,8.0,10.5,0,0,1
Deepak Hooda,205,31,13,28.1,226,4,2/16,56.5,8.02,42.25,0,0,1
LPC Silva,328,3,1,1.0,21,0,0/0,0.0,21.0,0.0,0,0,1
Mohammad Hafeez,253,8,2,5.0,24,1,1/8,24.0,4.8,30.0,0,0,1
Sean Abbott,310,2,2,5.0,57,0,0/0,0.0,11.4,0.0,0,0,1
Colin Munro,293,4,2,2.0,15,0,0/0,0.0,7.5,0.0,0,0,1
Abhishek Jhunjhunwala,266,21,10,14.1,129,1,1/13,129.0,9.1,85.0,0,0,1
Domnic Joseph,202,6,6,14.0,101,4,2/18,25.25,7.21,21.0,0,0,1
Sarabjit Ladda,196,9,9,23.0,224,5,2/44,44.8,9.73,27.6,0,0,1
Gajendra Singh,229,4,4,14.0,141,3,1/33,47.0,10.07,28.0,0,0,1
Paul Valthaty,167,23,10,25.1,205,7,4/29,29.28,8.14,21.57,1,0,1
C Nanda,236,3,3,8.0,57,2,1/4,28.5,7.12,24.0,0,0,1
TP Sudhindra,281,3,3,11.4,136,1,1/46,136.0,11.65,70.0,0,0,1
Makhaya Ntini,163,9,9,35.0,242,7,4/21,34.57,6.91,30.0,1,0,1
Asad Pathan,305,8,3,6.3,63,0,0/0,0.0,9.69,0.0,0,0,1
Rahul Shukla,199,7,7,20.0,208,5,2/28,41.6,10.4,24.0,0,0,1
P Parameswaran,210,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0,1
Raju Bhatkal,324,1,1,2.0,35,0,0/35,0.0,17.5,0.0,0,0,1
Yogesh Nagar,217,26,8,11.0,125,4,2/20,31.25,11.36,16.5,0,0,1
Suraj Randiv,176,8,8,29.0,223,6,2/24,37.16,7.68,29.0,0,0,1
Murugan Ashwin,169,10,10,28.3,241,7,3/36,34.42,8.45,24.42,0,0,1
Sumit Narwal,200,7,6,17.4,202,5,3/36,40.4,11.43,21.2,0,0,1
Anand Rajan,158,8,8,24.5,201,8,3/27,25.12,8.09,18.62,0,0,1
Doug Bracewell,224,1,1,4.0,32,3,3/32,10.66,8.0,8.0,0,0,1
Kevin Pietersen,164,36,13,29.0,215,7,2/31,30.71,7.41,24.85,0,0,1
VS Yeligati,311,2,2,5.0,59,0,0/0,0.0,11.8,0.0,0,0,1
Rahul Tewatia,222,4,4,12.0,90,3,1/17,30.0,7.5,24.0,0,0,1
Chris Jordan,135,9,9,28.0,258,11,4/11,23.45,9.21,15.27,1,0,1
Pat Cummins,241,4,4,14.0,126,2,1/29,63.0,9.0,42.0,0,0,1
RA Shaikh,309,1,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0,1
Gurkeerat Mann Singh,189,28,6,13.0,97,5,2/15,19.4,7.46,15.6,0,0,1
Francois du Plessis,321,51,1,1.0,16,0,0/0,0.0,16.0,0.0,0,0,1
K Goel,300,22,6,11.0,93,0,0/0,0.0,8.45,0.0,0,0,1
Marcus Stoinis,159,7,7,23.0,194,8,4/15,24.25,8.43,17.25,1,0,1
Mashrafe Mortaza,317,1,1,4.0,58,0,0/58,0.0,14.5,0.0,0,0,1
Mithun Manhas,286,55,3,7.0,42,0,0/0,0.0,6.0,0.0,0,0,1
Swapnil Singh,303,1,1,3.0,29,0,0/29,0.0,9.66,0.0,0,0,1
SB Joshi,265,4,4,9.1,82,1,1/27,82.0,8.94,55.0,0,0,1
D Kalyankrishna,249,3,3,8.0,87,2,1/30,43.5,10.87,24.0,0,0,1
MA Khote,247,4,2,5.0,51,2,2/29,25.5,10.2,15.0,0,0,1
Abhishek Raut,296,22,6,7.0,57,0,0/0,0.0,8.14,0.0,0,0,1
Paul Collingwood,187,8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0,1
Raiphi Gomez,192,13,9,16.0,129,5,2/14,25.8,8.06,19.2,0,0,1
Adam Voges,299,9,7,9.0,76,0,0/0,0.0,8.44,0.0,0,0,1
SB Bangar,211,12,9,25.0,219,4,2/34,54.75,8.76,37.5,0,0,1
I Malhotra,329,1,1,1.0,23,0,0/23,0.0,23.0,0.0,0,0,1
Luke Wright,248,7,6,11.5,124,2,1/12,62.0,10.47,35.5,0,0,1
S Sriram,322,2,2,3.0,49,0,0/0,0.0,16.33,0.0,0,0,1
Sachin Rana,288,11,3,2.4,18,0,0/0,0.0,6.75,0.0,0,0,1
Dwaraka Ravi Teja,267,32,2,3.0,28,1,0/0,28.0,9.33,18.0,0,0,1
Aaron Finch,268,52,5,7.1,67,1,1/11,67.0,9.34,43.0,0,0,1
RR Raje,183,10,10,23.1,209,6,2/16,34.83,9.02,23.16,0,0,1
Jayant Yadav,201,8,8,24.0,154,4,1/8,38.5,6.41,36.0,0,0,1
Kyle Abbott,251,5,5,16.0,177,2,1/38,88.5,11.06,48.0,0,0,1
SM Harwood,220,3,3,10.0,73,3,2/25,24.33,7.3,20.0,0,0,1
Tirumalasetti Suman,178,43,11,25.0,197,6,2/14,32.83,7.88,25.0,0,0,1
T Henderson,258,2,2,6.0,40,1,1/30,40.0,6.66,36.0,0,0,1
Ashok Menaria,223,29,12,18.2,144,3,2/20,48.0,7.85,36.66,0,0,1
Kamran Khan,148,9,9,26.4,224,9,3/18,24.88,8.4,17.77,0,0,1
Pawan Suyal,243,5,5,16.0,151,2,1/21,75.5,9.43,48.0,0,0,1
WA Mota,206,12,7,12.0,97,4,1/6,24.25,8.08,18.0,0,0,1
Pradeep Sahu,225,5,5,17.3,146,3,2/18,48.66,8.34,35.0,0,0,1
Ben Cutting,173,5,5,15.1,111,6,2/20,18.5,7.31,15.16,0,0,1
SS Mundhe,256,1,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0,1
P Amarnath,172,6,6,22.0,236,7,2/29,33.71,10.72,18.85,0,0,1
Balachandra Akhil,177,15,13,31.2,242,6,2/17,40.33,7.72,31.33,0,0,1
Suryakumar Yadav,295,45,1,1.0,8,0,0/0,0.0,8.0,0.0,0,0,1
KC Cariappa,215,6,6,19.0,187,4,2/16,46.75,9.84,28.5,0,0,1
Shivam Sharma,209,5,5,19.0,165,4,2/26,41.25,8.68,28.5,0,0,1
Andrew McDonald,132,11,10,31.0,261,11,2/25,23.72,8.41,16.9,0,0,1
Rajagopal Sathish,228,34,14,23.1,232,3,1/11,77.33,10.01,46.33,0,0,1
RR Bose,314,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0,1
Shivil Kaushik,180,7,7,23.0,192,6,3/20,32.0,8.34,23.0,0,0,1
Ajinkya Rahane,254,95,1,1.0,5,1,0/0,5.0,5.0,6.0,0,0,1
Nathan McCullum,289,2,2,5.0,34,0,0/0,0.0,6.8,0.0,0,0,1
Vijay Shankar,326,1,1,1.0,19,0,0/19,0.0,19.0,0.0,0,0,1
Kane Williamson,290,8,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0,1
Michael Clarke,235,6,5,11.0,67,2,1/12,33.5,6.09,33.0,0,0,1
Shoaib Malik,246,7,5,8.3,85,2,1/6,42.5,10.0,25.5,0,0,1
Carlos Brathwaite,168,8,8,23.1,189,7,3/47,27.0,8.15,19.85,0,0,1
Aavishkar Salvi,165,7,7,25.0,200,7,2/19,28.57,8.0,21.42,0,0,1
DNT Zoysa,242,3,3,11.0,99,2,1/30,49.5,9.0,33.0,0,0,1
Ankit Rajpoot,213,6,6,15.0,133,4,1/14,33.25,8.86,22.5,0,0,1
Chamara Kapugedera,323,5,3,2.5,49,0,0/0,0.0,17.29,0.0,0,0,1
Krishnakant Upadhyay,302,3,3,9.0,81,0,0/0,0.0,9.0,0.0,0,0,1
Michael Neser,319,1,1,4.0,62,0,0/62,0.0,15.5,0.0,0,0,1
Sachithra Senanayake,141,8,8,32.0,209,9,2/26,23.22,6.53,21.33,0,0,1
Sachin Tendulkar,304,78,4,6.0,58,0,0/0,0.0,9.66,0.0,0,0,1
Virender Sehwag,186,104,15,22.4,235,6,2/18,39.16,10.36,22.66,0,0,1
Harmeet Singh,263,1,1,4.0,34,1,1/34,34.0,8.5,24.0,0,0,1
Umar Gul,125,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0,1
Amit Uniyal,250,2,2,6.0,66,2,2/41,33.0,11.0,18.0,0,0,1
Jeevan Mendis,260,3,2,5.0,36,1,1/16,36.0,7.2,30.0,0,0,1
Shane Bond,143,8,8,31.0,224,9,2/24,24.88,7.22,20.66,0,0,1
Bharat Chipli,327,23,1,1.0,20,0,0/0,0.0,20.0,0.0,0,0,1
Aditya Dole,198,3,3,11.0,112,5,2/36,22.4,10.18,13.2,0,0,1
Jimmy Neesham,271,4,4,9.0,91,1,1/29,91.0,10.11,54.0,0,0,1
P Prasanth,325,1,1,1.0,18,0,0/18,0.0,18.0,0.0,0,0,1
Marlon Samuels,145,10,9,32.4,250,9,3/39,27.77,7.65,21.77,0,0,1
Nuwan Kulasekara,188,6,5,17.0,120,5,2/10,24.0,7.05,20.4,0,0,1
PM Sarvesh Kumar,262,2,2,5.0,42,1,1/18,42.0,8.4,30.0,0,0,1
Nayan Doshi,240,4,4,9.2,79,2,1/15,39.5,8.46,28.0,0,0,1
Scott Boland,239,2,2,7.0,54,2,2/31,27.0,7.71,21.0,0,0,1
Shardul Thakur,284,1,1,3.0,38,1,1/38,38.0,12.66,18.0,0,0,1
RS Gavaskar,294,2,1,1.0,8,0,0/0,0.0,8.0,0.0,0,0,1
T Thushara,154,6,6,22.3,161,8,2/16,20.12,7.15,16.87,0,0,1
Lendl Simmons,279,22,1,3.0,34,1,0/0,34.0,11.33,18.0,0,0,1
Akshath Reddy,276,12,1,3.0,32,1,0/0,32.0,10.66,18.0,0,0,1
Charl Langeveldt,118,7,7,26.0,187,13,3/15,14.38,7.19,12.0,0,0,1
Adam Zampa,122,5,5,17.0,115,12,6/19,9.58,6.76,8.5,0,1,1
Krishmar Santokie,233,2,2,8.0,90,3,2/50,30.0,11.25,16.0,0,0,1
